Gender,Age,Income Level,Region,Contract Type,Tenure,Account Type,Billing Method,Payment Method,Monthly Charges,Total Charges,Call Usage (mins),Internet Service,Data Usage (GB),Streaming Services,Value-Added Services,Device Protection Plan,Number of Complaints,Response Time (hrs),Customer Support Calls,Satisfaction Score,Service Downgrades,Contract Changes,Churn Label,Onboarding Experience,Login Frequency,App Engagement
Female,31,High,West,Month-to-month,20,Prepaid,Paperless,Cash,99.95,4917.36,733.73,DSL,219.02,Yes,Yes,Yes,2,10.76,3,4.4,2,No,No,4.9,17,0.76
Male,27,Low,South,Two-year,70,Postpaid,Paperless,Cash,175.22,7239.85,50.08,Fiber optic,291.15,Yes,Yes,Yes,7,43.33,10,9.63,4,Yes,No,4.7,31,4.4
Female,51,Medium,East,Month-to-month,9,Postpaid,Mailed,Bank Transfer,31.28,5277.87,863.48,None,144.93,Yes,Yes,Yes,2,19.07,14,6.85,5,Yes,No,1.62,3,8.6
Male,61,Low,South,Month-to-month,45,Prepaid,Paperless,Cash,117.96,1682,86.69,None,241.54,No,No,No,7,40.8,4,1.64,4,Yes,Yes,1.63,34,0.95
Female,31,Low,East,One-year,49,Prepaid,Paperless,Credit Card,44.51,2043.86,530.67,Fiber optic,281.05,Yes,Yes,Yes,10,10.84,1,6.12,1,No,No,5.97,37,7.78
Non-binary,24,Low,East,Two-year,40,Postpaid,Mailed,Cash,195.55,5719.69,672.02,None,485.74,No,Yes,Yes,2,19.5,6,7.81,5,Yes,Yes,2.28,30,6.63
Female,49,High,North,Two-year,3,Prepaid,Mailed,Bank Transfer,153.12,2014.01,953.64,None,84,No,No,No,6,19.01,14,1.57,2,No,Yes,2.63,29,2.08
Non-binary,74,Medium,East,One-year,57,Prepaid,Mailed,Bank Transfer,88.09,1337.11,224.06,Fiber optic,351.08,No,No,No,8,47.07,0,5.79,4,Yes,No,4.45,1,8.56
Non-binary,39,High,East,One-year,38,Postpaid,Mailed,Bank Transfer,29.25,2176.28,957.34,Fiber optic,473.95,Yes,Yes,Yes,7,1.31,0,3.26,3,No,Yes,3.69,7,6.77
Non-binary,44,High,North,One-year,4,Postpaid,Mailed,Credit Card,51.64,4630.6,550.97,DSL,152.21,Yes,Yes,No,2,7.88,1,3.91,3,Yes,No,5.59,16,8.49
Non-binary,28,High,South,Two-year,53,Postpaid,Paperless,Bank Transfer,150.91,9226.59,580.49,DSL,190.88,Yes,Yes,Yes,1,5.34,10,9.1,4,Yes,Yes,4.26,2,2.46
Non-binary,67,High,East,One-year,18,Postpaid,Mailed,Cash,62.57,9427.44,450.49,None,63.88,No,Yes,Yes,7,29.35,16,1.87,4,Yes,No,5.85,5,1.87
Female,30,Medium,North,Two-year,56,Prepaid,Paperless,Credit Card,30.15,2850.99,777.66,Fiber optic,7.74,Yes,Yes,Yes,9,4.1,1,8.49,4,No,No,5.48,3,8.98
Male,58,Low,South,Two-year,10,Postpaid,Paperless,Credit Card,84.19,3830.42,418.75,Fiber optic,175.62,No,Yes,No,1,17.62,5,5.1,1,No,Yes,3.14,21,3.24
Female,33,Low,South,Two-year,5,Prepaid,Mailed,Credit Card,198.43,6118.15,116.75,DSL,196.9,No,Yes,No,4,40.97,9,7.19,4,No,Yes,5.43,20,3.54
Male,38,Medium,East,Two-year,16,Postpaid,Paperless,Credit Card,80.78,1325.09,783.42,Fiber optic,322.65,No,No,No,2,42.92,3,7.8,2,No,No,8.05,49,5.56
Non-binary,61,High,East,One-year,1,Postpaid,Mailed,Cash,182.32,5953.57,56.11,None,316.68,Yes,No,No,8,39.37,3,8.46,0,Yes,Yes,7.12,17,8.4
Male,38,Low,East,Month-to-month,55,Postpaid,Paperless,Credit Card,44.1,6598.56,821.67,Fiber optic,253.63,No,No,Yes,0,6.22,1,6.78,3,No,Yes,4.19,5,3.47
Female,32,Medium,West,Month-to-month,45,Postpaid,Paperless,Bank Transfer,160.93,7849.11,192.56,DSL,376.35,No,Yes,No,3,4.09,4,6.69,3,Yes,Yes,7.95,19,3.03
Female,57,Low,West,Two-year,66,Postpaid,Paperless,Bank Transfer,31.63,9418.72,649.85,Fiber optic,148.26,No,Yes,Yes,6,29.97,7,5.03,3,No,No,4.74,14,5.75
Male,42,High,North,Two-year,32,Prepaid,Mailed,Cash,193.5,7140.28,803.76,Fiber optic,406.44,No,Yes,No,0,23.29,19,2.48,0,Yes,No,2.98,31,2.67
Male,31,Medium,South,One-year,64,Postpaid,Mailed,Bank Transfer,108.4,8273.59,245.28,DSL,233.2,No,Yes,Yes,2,7.59,20,8.59,3,Yes,Yes,9.82,7,8.35
Female,62,High,North,One-year,49,Postpaid,Mailed,Credit Card,139.18,4118.95,649.07,Fiber optic,287.41,No,No,No,0,33.77,10,9.89,1,Yes,No,9.47,33,6.71
Male,20,Low,West,Two-year,23,Postpaid,Paperless,Bank Transfer,140.91,8345.44,175.33,DSL,372.06,Yes,Yes,Yes,8,45.73,20,7.26,0,Yes,Yes,4.25,45,6.12
Female,28,Medium,North,Month-to-month,35,Prepaid,Paperless,Credit Card,165.58,1386.46,295.03,DSL,467.14,Yes,No,Yes,4,43.32,12,1.72,0,Yes,No,5.62,44,1.18
Non-binary,54,High,North,Two-year,62,Postpaid,Paperless,Bank Transfer,126.49,3982.55,799.59,DSL,448.17,No,Yes,Yes,7,37.36,9,8.54,3,Yes,No,7.01,1,7.55
Female,79,High,South,Two-year,40,Postpaid,Mailed,Bank Transfer,101.51,9621.1,689.68,None,297.56,Yes,No,No,2,33.76,14,7.86,3,No,Yes,1.27,19,4.3
Male,27,Medium,West,Two-year,33,Prepaid,Paperless,Bank Transfer,76.72,5595.45,315.28,None,54.81,No,Yes,No,3,21.78,15,2.8,3,No,Yes,8.66,32,4.94
Non-binary,63,High,East,Month-to-month,28,Prepaid,Paperless,Bank Transfer,109.7,7278.36,528.36,None,327.63,Yes,No,No,4,41.25,0,5.34,5,No,Yes,3.66,22,1.44
Male,49,Medium,East,Month-to-month,28,Postpaid,Mailed,Bank Transfer,173.25,8974.74,160.58,None,151.39,No,Yes,No,0,26.87,6,6.85,2,Yes,No,6.79,11,7.54
Male,21,Low,North,Month-to-month,29,Postpaid,Paperless,Bank Transfer,31.15,5105.97,472.22,None,92.4,No,No,No,4,44.67,20,6.35,2,No,Yes,5.55,22,1.34
Male,73,Low,East,Two-year,13,Prepaid,Paperless,Bank Transfer,20.47,187.45,769.99,None,102.77,Yes,No,No,9,17.08,17,4.58,2,Yes,No,4.86,18,2.24
Male,40,High,South,Month-to-month,5,Postpaid,Mailed,Cash,114.36,5406.81,181.79,DSL,244.25,No,No,No,3,7.09,0,8.07,5,No,Yes,3.86,5,1.81
Female,42,Low,South,Month-to-month,53,Prepaid,Paperless,Cash,51.39,8907.49,724.13,DSL,368.5,Yes,Yes,No,6,34.18,19,3.25,0,Yes,Yes,3.2,20,9.37
Female,24,High,North,One-year,2,Prepaid,Paperless,Cash,150.5,4602.66,50.41,DSL,343.54,Yes,Yes,No,9,38.22,8,1.68,3,No,No,1.99,7,3.96
Non-binary,61,High,West,One-year,20,Prepaid,Paperless,Credit Card,66.31,5093.5,878.62,Fiber optic,58.61,No,No,No,7,13.34,12,5.4,3,No,No,8.21,22,5.1
Non-binary,61,Medium,West,Month-to-month,10,Postpaid,Paperless,Credit Card,29.12,8497.26,504.06,DSL,442.36,Yes,No,Yes,2,23.23,18,3.66,5,Yes,Yes,4.14,1,8.21
Male,59,Low,South,Month-to-month,49,Postpaid,Mailed,Bank Transfer,151.47,4771.87,704.6,None,66.99,Yes,No,Yes,4,45.69,10,2.43,0,No,Yes,5.4,36,5.91
Male,68,High,East,One-year,71,Prepaid,Mailed,Credit Card,58.11,2682.78,581.91,None,162.03,Yes,No,No,5,2.79,6,3.8,0,No,No,8.29,47,2.92
Female,59,Medium,West,Two-year,64,Prepaid,Paperless,Bank Transfer,196.81,5263.51,698.2,DSL,476.95,No,Yes,Yes,8,25.22,17,7.38,2,No,No,1.06,32,4.68
Non-binary,73,High,North,One-year,30,Prepaid,Paperless,Bank Transfer,144.46,8263.68,823.98,Fiber optic,362.01,Yes,Yes,No,0,37.89,12,1.28,4,Yes,No,5.71,12,7.7
Non-binary,70,Medium,North,Month-to-month,31,Postpaid,Paperless,Credit Card,188.91,3476.77,513.37,DSL,359.63,No,No,No,4,16.89,9,4.18,3,No,Yes,3.17,16,7.64
Non-binary,58,Low,South,Month-to-month,7,Postpaid,Mailed,Bank Transfer,89.92,1701.14,745.61,None,315.71,Yes,No,Yes,9,12.11,9,5.53,2,Yes,Yes,6.29,25,2.54
Female,66,High,South,One-year,15,Postpaid,Mailed,Cash,68.77,4460.65,226.14,DSL,374.68,Yes,No,No,0,28.09,17,3.12,2,Yes,No,8.66,9,1.54
Non-binary,47,High,West,Two-year,68,Prepaid,Mailed,Cash,161.39,8487.84,81.21,None,118.85,No,Yes,No,4,17.65,18,2.67,1,No,Yes,5.46,11,1.61
Female,64,Low,West,Two-year,9,Prepaid,Paperless,Credit Card,164.98,2735.72,381.27,DSL,337.3,No,No,No,5,17.39,3,2.12,2,Yes,Yes,3.12,29,4.88
Male,35,Medium,East,Month-to-month,9,Prepaid,Mailed,Bank Transfer,118.54,9124.31,864.15,None,492.46,No,No,Yes,5,29.8,14,3.04,1,Yes,Yes,2.83,4,9.31
Male,68,Low,South,One-year,27,Prepaid,Paperless,Credit Card,96.77,5625,240.09,Fiber optic,197.73,No,No,Yes,0,15.32,11,1.5,4,Yes,No,6.79,3,4.02
Male,80,Medium,South,Month-to-month,58,Postpaid,Mailed,Credit Card,167.6,2875.08,822.06,Fiber optic,142.09,Yes,No,No,3,3.9,1,2.6,5,Yes,No,3.92,12,6.73
Male,51,High,North,Month-to-month,41,Postpaid,Paperless,Bank Transfer,92.89,8511.98,408.29,DSL,407.7,No,No,No,7,22.67,3,8.11,0,Yes,No,7.01,5,3.75
Male,42,Low,East,Two-year,30,Prepaid,Mailed,Cash,76.95,5622.73,56.71,DSL,477.12,No,No,Yes,0,11.29,4,5.93,4,No,Yes,6.36,12,5.5
